Restaurant Name,Rating,Price Range,Type of food,Phone,Address,Zipcode,City,State,Country,Website,Hours
Huaraches Los Hermanos,4.5,$,"Mexican, Mexican",+52 55 5290 7086,Av. Palo Solo s/n,52764,Huixquilucan,México,MX,,
Huaraches Mary,5.0,,"Mexican, Mexican",,"Poniente 112 357, Col. Panamericana",07770,"México, D.F.",,MX,,
Huaraches Ram,,,"Mexican, Mexican",,"7 Oriente, Col. Centro",72000,Puebla,,MX,,
Huaraches y Quesadillas Carmelita,5.0,$$,"Mexican, Mexican",+52 55 6001 2801,"Mercado de Coyoacán Local 328, Col. Del Carmen Coyoacán",04400,"México, D.F.",,MX,,Mon 9:00 am - 5:00 pm; Tue 9:00 am - 5:00 pm; Wed 9:00 am - 5:00 pm; Thu 9:00 am - 5:00 pm; Fri 9:00 am - 5:00 pm; Sat 9:00 am - 5:00 pm; Sun 9:00 am - 5:00 pm Closed now
"Huaraches, Gorditas, Sopes y Quesadillas",4.5,$,"Mexican, Mexican",,"Tiziano s/n, Col. Mixcoac",03849,"México, D.F.",,MX,,
Huecani,4.5,$$,"Mexican, Mexican",+52 81 834 43753,Av. José Vasconcelos Poniente 647,66220,San Pedro Garza García,Nuevo León,MX,,Mon Closed; Tue 9:00 am - 11:00 pm; Wed 9:00 am - 11:00 pm; Thu 9:00 am - 11:00 pm; Fri 9:00 am - 11:00 pm; Sat 9:00 am - 11:00 pm; Sun 9:00 am - 10:00 pm Closed now
Ice + Grill,4.0,$$$,"Mexican, Mexican",+52 222 409 3716,Av. Zeta del Colchero 403,72400,Puebla,,MX,iceandgrill.com,
Iguanas Green’s,5.0,$,"Mexican, Mexican",,Calle Ignacio Rayón 24,62000,Cuernavaca,Morelos,MX,,
Indio Azteca,4.5,$$,"Mexican, Mexican",+52 81 837 55146,"Francisco I. Madero 1101, Col. Centro",64000,Monterrey,Nuevo León,MX,,
IPAA Cocina Mexicana,4.0,$$$,"Mexican, Mexican",+52 664 681 7440,"Av. Rio Tijuana 2554, Col. Revolución",22015,Revolución,Baja California,MX,ipaa.mx,
Ita Vico,4.0,,"Mexican, Mexican",,Ignacio Zaragoza,,Cabo San Lucas,Baja California Sur,MX,,
Itacate,2.5,$,"Mexican, Mexican",,"Blvd Juan Alonso De Torres 2002, Col. Valle del Campestre",37150,León,Guanajuato,MX,,
Itanoni,4.0,$,"Mexican, Mexican",+52 951 513 9223,"Av. Belisario Domínguez  513, Col. Reforma",68050,Oaxaca,,MX,itanoni.com,Mon 7:00 am - 5:00 pm; Tue 7:00 am - 5:00 pm; Wed 7:00 am - 5:00 pm; Thu 7:00 am - 5:00 pm; Fri 7:00 am - 5:00 pm; Sat 7:00 am - 5:00 pm; Sun 7:00 am - 5:00 pm Closed now
Ixi’im,,,"Mexican, Mexican",+52 55 4170 7666,San Antonio Chablé S/N,97816,Chocholá,Yucatán,MX,ixiimrestaurant.com,Mon Closed; Tue 7:00 pm - 11:00 pm; Wed 7:00 pm - 11:00 pm; Thu 7:00 pm - 11:00 pm; Fri 7:00 pm - 11:00 pm; Sat 7:00 pm - 11:00 pm; Sun 7:00 pm - 9:00 pm Open now
Jacinto 1930,4.5,$$$,"Mexican, Mexican",+52 41 515 00075,Relox 18,37700,San Miguel de Allende,Guanajuato,MX,,Mon 12:00 pm - 10:00 pm; Tue 12:00 pm - 10:00 pm; Wed 12:00 pm - 10:00 pm; Thu 12:00 pm - 10:00 pm; Fri 12:00 pm - 11:00 pm; Sat 12:00 pm - 11:00 pm; Sun 12:00 pm - 10:00 pm Open now
Janal Ki,4.5,,"Mexican, Mexican",,Calle 22 No. 211,97205,Mérida,Yucatán,MX,,
Jardin Cerveza,,,"Mexican, Mexican",+52 81 235 32667,"Plaza Ellion, Av. Manuel Gómez Morín 918, Col. Del Valle",66220,San Pedro Garza García,Nuevo León,MX,,Mon 6:00 pm - Tue Closed now; Tue Open 24 hours; Wed Open 24 hours; Thu Open 24 hours; Fri Open 24 hours; Sat Open 24 hours; Sun Sat - 6:00 pm
Jarros y cazuelas,3.5,$$,"Mexican, Mexican",,"Violetas 720, Col Reforma",68050,Oaxaca,,MX,,
Javier’s,4.5,$$,"Mexican, Mexican",+52 624 163 5100,Paseo Malecon S/N,23400,San José del Cabo,Baja California Sur,MX,caboazulresort.com/dining,
JB’s on Olas Altas,5.0,,"Mexican, Mexican",+52 322 178 5424,Francisca Rodriguez 155,48300,Puerto Vallarta,Jalisco,MX,jbsonolasaltas.com,
Johnny Rocket,2.5,$$,"Mexican, Mexican",,Blvrd. Francisco Medina Ascencio 2141,48290,Puerto Vallarta,Jalisco,MX,johnnyrocketsmexico.com,
Jorge Alatorre Gonzalez,,,"Mexican, Mexican",,Calle Maíz 492,44470,Guadalajara,Jalisco,MX,,
Jose Guerrero Hernandez,,,"Mexican, Mexican",,Calle Javier Mina 218,47420,Lagos de Moreno,Jalisco,MX,,
Jose Guerrero Hernandez,,,"Mexican, Mexican",,Calle Prolongacion Miguel Leandro Guerra 206,47420,Lagos de Moreno,Jalisco,MX,,
Juana Bi,5.0,,"Mexican, Mexican",+52 55 5393 5133,"Circuito Economistas 22-C, Col. Ciudad Satélite",53100,Naucalpan de Juárez,México,MX,juana-bi.com,Mon 10:00 am - 10:00 pm; Tue 10:00 am - 10:00 pm; Wed 10:00 am - 10:00 pm; Thu 10:00 am - 11:00 pm; Fri 10:00 am - 11:00 pm; Sat 10:00 am - 10:00 pm; Sun 10:00 am - 8:00 pm Closed now
Juancho Tostado,5.0,,"Mexican, Mexican",+52 664 379 5119,"Av. 20 de Noviembre 12721, Col. 20 de Noviembre",,Tijuana,Baja California,MX,,
Juanita,4.0,,"Mexican, Mexican",,"Américas 79, Col. Moderna",03510,"México, D.F.",,MX,,Mon Closed; Tue 7:30 pm - 11:00 pm; Wed 7:30 pm - 11:00 pm; Thu 7:30 pm - 11:00 pm; Fri 7:30 pm - 11:00 pm; Sat 7:30 pm - 11:30 pm; Sun 7:30 pm - 11:30 pm Closed now
Julia Mía,4.0,$$$,"Mexican, Mexican",+52 998 884 1086,"Av. Yaxchilán 2-01, Manzana 4",77524,Cancún,Quintana Roo,MX,juliamia.com.mx,Mon 7:00 am - 11:00 pm; Tue 7:00 am - 11:00 pm; Wed 7:00 am - 11:00 pm; Thu 7:00 am - 11:00 pm; Fri 7:00 am - 11:00 pm; Sat 7:00 am - 11:00 pm; Sun Closed
Julientina,,,"Mexican, Mexican",+52 33 126 41228,Av. Patria 866-B,45030,Zapopan,Jalisco,MX,julientina.com,Mon Closed; Tue 10:00 am - 8:00 pm; Wed 10:00 am - 8:00 pm; Thu 10:00 am - 8:00 pm; Fri 10:00 am - 8:00 pm; Sat 10:00 am - 8:00 pm; Sun 10:00 am - 8:00 pm Closed now
Junior,3.0,,"Mexican, Mexican",,"Parque la Palapas, Calle alcatraces",77500,Cancún,Quintana Roo,MX,,
K\xfcchi,,,"Mexican, Mexican",+52 33 381 78675,"Mar Mediterráneo 2171, Col. Country Club",44610,Guadalajara,Jalisco,MX,,Mon Closed; Tue 8:00 am - 5:00 pm; Wed 8:00 am - 5:00 pm; Thu 8:00 am - 5:00 pm; Fri 8:00 am - 5:00 pm; Sat 8:00 am - 5:00 pm; Sun 8:00 am - 5:00 pm Closed now
Kamafruta,4.5,$$,"Mexican, Mexican",+52 222 274 1928,"Palmas Plaza, Av. Zeta del Colchero 403",72810,San Andrés Cholula,Puebla,MX,,
Kamilos 333,4.5,$$,"Mexican, Mexican",+52 33 382 57869,"Jose Clemente Orozco 333, Col. Villaseñor",44600,Guadalajara,Jalisco,MX,kamilos333.com,Mon 8:00 am - 11:30 pm; Tue 8:00 am - 11:30 pm; Wed 8:00 am - 11:30 pm; Thu 8:00 am - 11:30 pm; Fri 8:00 am - 11:30 pm; Sat 8:00 am - 11:30 pm; Sun 8:00 am - 11:30 pm Open now
Karen’s Place,4.5,$$,"Mexican, Mexican",+52 32 929 83176,Lazaro Cardenas 156,63733,Bucerias,Nayarit,MX,karensplacebucerias.com,
Karne Garibaldi,5.0,$$,"Mexican, Mexican",+52 33 336 43506,Av. Juan Gil Preciado 1999,45138,Zapopan,Jalisco,MX,karnegaribaldi.com.mx,Mon 11:00 am - 10:00 pm; Tue 11:00 am - 10:00 pm; Wed 11:00 am - 10:00 pm; Thu 11:00 am - 10:00 pm; Fri 11:00 am - 10:00 pm; Sat 11:00 am - 10:00 pm; Sun 11:00 am - 10:00 pm Open now
Karne Garibaldi,4.5,$$,"Mexican, Mexican",+52 33 312 32607,"Av. Mariano Otero 3019, Col. Residencial Victoria",45055,Zapopan,Jalisco,MX,karnegaribaldi.com.mx,Mon 11:00 am - 11:00 pm; Tue 11:00 am - 11:00 pm; Wed 11:00 am - 11:00 pm; Thu 11:00 am - 11:00 pm; Fri 11:00 am - 11:00 pm; Sat 11:00 am - 11:00 pm; Sun 11:00 am - 11:00 pm Open now
Karnes En Su Jugo,,,"Mexican, Mexican",,Blvd. Bernardo Quintana 88,76050,Santiago de Querétaro,Querétaro,MX,,Mon 1:00 pm - 7:00 pm; Tue 1:00 pm - 7:00 pm; Wed 1:00 pm - 7:00 pm; Thu 1:00 pm - 7:00 pm; Fri 1:00 pm - 7:00 pm; Sat 1:00 pm - 7:00 pm; Sun 1:00 pm - 7:00 pm Open now
Karnes en su Jugo,5.0,$,"Mexican, Mexican",+52 664 682 3161,Padre Kino 10160,22320,Tijuana,Baja California,MX,,
Karnes en Su Jugo,4.0,,"Mexican, Mexican",,"Blvd. Agua Caliente 9916, Col. Cacho",22044,Tijuana,Baja California,MX,karnesensujugotijuana.com,
Karnes Garibaldi,4.5,$,"Mexican, Mexican",+52 33 365 03499,Blvd. General Marcelino García Barragán 1627,44430,Guadalajara,Jalisco,MX,,Mon 12:00 pm - 11:00 pm; Tue 12:00 pm - 11:00 pm; Wed 12:00 pm - 11:00 pm; Thu 12:00 pm - 11:00 pm; Fri 12:00 pm - 11:00 pm; Sat 12:00 pm - 11:00 pm; Sun 12:00 pm - 11:00 pm Open now
Karnes Garibaldi,5.0,,"Mexican, Mexican",+52 33 362 11600,Av. Vallarta 3959,,Zapopan,Jalisco,MX,,
Karnitas La Terraza,4.5,,"Mexican, Mexican",+52 33 364 29060,Calle Rafael Sanzio 267,45030,Zapopan,Jalisco,MX,,Mon 10:00 am - 6:00 pm; Tue 10:00 am - 6:00 pm; Wed 10:00 am - 6:00 pm; Thu 10:00 am - 6:00 pm; Fri 10:00 am - 6:00 pm; Sat 9:00 am - 5:00 pm; Sun 9:00 am - 5:00 pm Open now
K-ase-rola,3.0,,"Mexican, Mexican",+52 55 6550 3096,"Bajío 338 casi esq. Insurgentes, Col. Roma Sur",06760,"México, D.F.",,MX,,Mon 10:00 am - 6:00 pm; Tue 10:00 am - 6:00 pm; Wed 10:00 am - 6:00 pm; Thu 10:00 am - 6:00 pm; Fri 10:00 am - 6:00 pm; Sat Closed; Sun Closed
Ke Chamorros,5.0,,"Mexican, Mexican",+52 55 1578 0432,Av Revolución 1876,44840,Guadalajara,Jalisco,MX,kechamorros.com,Mon 9:00 am - 6:00 pm; Tue 9:00 am - 6:00 pm; Wed 9:00 am - 6:00 pm; Thu 9:00 am - 6:00 pm; Fri 9:00 am - 6:00 pm; Sat 9:00 am - 6:00 pm; Sun 9:00 am - 6:00 pm Closed now
Ke Chamorros,4.0,,"Mexican, Mexican",+52 55 3637 6268,Av. Fidel Velázquez Sánchez 48,44290,Guadalajara,Jalisco,MX,kechamorros.com,Mon 9:00 am - 6:00 pm; Tue 9:00 am - 6:00 pm; Wed 9:00 am - 6:00 pm; Thu 9:00 am - 6:00 pm; Fri 9:00 am - 6:00 pm; Sat 9:00 am - 6:00 pm; Sun 9:00 am - 6:00 pm Closed now
Ke Chamorros,,,"Mexican, Mexican",,Calle Gorrión 1272,44910,Guadalajara,Jalisco,MX,,
Kentucky Club & Grill,3.5,$,"Mexican, Mexican",+52 656 632 6113,Av. Juarez 629,87500,Juárez,Chihuahua,MX,,Mon 11:00 am - 2:00 am; Tue 11:00 am - 2:00 am; Wed 11:00 am - 2:00 am; Thu 11:00 am - 2:00 am; Fri 11:00 am - 2:00 am; Sat 11:00 am - 2:00 am; Sun 11:00 am - 2:00 am Open now
King Burrito Express,,,"Mexican, Mexican",+52 98 710 26638,"Carretera Costera Sur Km 2.6, Col. Zona Hotelera",77600,Cozumel,Quintana Roo,MX,,Mon 10:00 am - 6:00 pm Closed now; Tue 10:00 am - 6:00 pm; Wed 10:00 am - 6:00 pm; Thu 10:00 am - 6:00 pm; Fri 10:00 am - 6:00 pm; Sat 10:00 am - 6:00 pm; Sun Closed
Koli,5.0,,"Mexican, Mexican",+52 81 968 87333,Vía Cordillera S/N,66197,Ciudad Santa Catarina,Nuevo León,MX,koli.mx,Mon Closed; Tue Closed; Wed Closed; Thu 8:00 am - 12:00 am; Fri 8:00 am - 12:00 am; Sat 8:00 am - 12:00 am; Sun Closed
Kool Beach Club,3.5,$$,"Mexican, Mexican",+52 984 873 1255,Calle 28 Nte. 10,77533,Playa del Carmen,Quintana Roo,MX,koolbeachclub.com.mx,
Kukulkan,4.5,,"Mexican, Mexican",+52 55 5519 1156,La Morena 1504,03020,"México, D.F.",,MX,,Mon 1:00 pm - 6:00 pm; Tue 1:00 pm - 6:00 pm; Wed 1:00 pm - 6:00 pm; Thu 1:00 pm - 6:00 pm; Fri 1:00 pm - 6:00 pm; Sat 1:00 pm - 6:00 pm; Sun Closed
La \xa0Poblanita,4.0,$$$,"Mexican, Mexican",+52 55 5515 8159,"Patriotismo 87, Col. Escandon",11800,"México, D.F.",,MX,lapoblanita.com.mx,
La \xdanica de Culiacán,4.5,$$,"Mexican, Mexican",,"Blvd. Federico Benitez 13012, Col. Buena Vista",22415,Tijuana,Baja California,MX,,Mon 9:00 am - 3:00 pm; Tue 9:00 am - 3:00 pm; Wed 9:00 am - 3:00 pm; Thu 9:00 am - 3:00 pm; Fri 9:00 am - 3:00 pm; Sat 9:00 am - 3:00 pm; Sun 9:00 am - 3:00 pm Open now
La 2Cena,,,"Mexican, Mexican",,"Av. Yaxchilán 17, Col. Super Manzana 22",77500,Cancún,Quintana Roo,MX,,Mon 6:00 pm - 1:00 am Closed now; Tue 6:00 pm - 1:00 am; Wed 6:00 pm - 1:00 am; Thu 6:00 pm - 1:00 am; Fri 6:00 pm - 1:00 am; Sat 6:00 pm - 1:00 am; Sun 6:00 pm - 1:00 am
La Abuelita,5.0,,"Mexican, Mexican",,Aldama 217,68000,Oaxaca,,MX,,
La Amuzgueñita,,,"Mexican, Mexican",+52 951 514 2594,Niños Héroes 432,68034,Oaxaca,,MX,,Mon 8:00 am - 6:00 pm Closed now; Tue 8:00 am - 6:00 pm; Wed 8:00 am - 6:00 pm; Thu 8:00 am - 6:00 pm; Fri 8:00 am - 6:00 pm; Sat 8:00 am - 6:00 pm; Sun 8:00 am - 6:00 pm
La Andaluza,3.5,,"Mexican, Mexican",+52 222 244 6036,14 Sur 5508,72570,Puebla,,MX,,Mon 12:00 pm - 5:00 pm; Tue 12:00 pm - 5:00 pm; Wed Closed; Thu 12:00 pm - 5:00 pm; Fri 12:00 pm - 5:00 pm; Sat 12:00 pm - 5:00 pm; Sun 12:00 pm - 5:00 pm Closed now
La Antigua,4.0,$$,"Mexican, Mexican",+52 33 356 36570,"Calle de Morelos 371, Col. Centro",44100,Guadalajara,Jalisco,MX,,
La Antigua,,,"Mexican, Mexican",,Gustavo Baz 2220,54110,Tlalnepantla,México,MX,,
La Antigua Fonda de la China Poblana,3.5,,"Mexican, Mexican",,"Av. 5 oriente 401, puebla centro 72000",72365,Puebla,,MX,,
La Antojeria,,,"Mexican, Mexican",+52 44 222 42760,"Anador 5 de Mayo 39, Col. Centro Histórico",76000,Santiago de Querétaro,Querétaro,MX,lacasona5patios.com,
La Antojeria,,,"Mexican, Mexican",+52 55 5532 2130,"Lago Pte. 80, Col. Américas Unidas",03610,Ciudad de México,D.F.,MX,,Mon 8:00 am - 7:00 pm; Tue 8:00 am - 7:00 pm; Wed 8:00 am - 7:00 pm; Thu 8:00 am - 7:00 pm; Fri 8:00 am - 7:00 pm; Sat 8:00 am - 7:00 pm; Sun Closed
La Antojeria,4.0,,"Mexican, Mexican",,"Diagonal Benito Juárez 14, Col. Nueva Antequera",72180,Puebla,,MX,,Mon 10:00 am - 8:00 pm; Tue 10:00 am - 8:00 pm; Wed 10:00 am - 8:00 pm; Thu 10:00 am - 8:00 pm; Fri 10:00 am - 8:00 pm; Sat 10:00 am - 6:30 pm; Sun Closed
La Antojería,3.0,$,"Mexican, Mexican",+52 44 222 42760,"Calle 5 de Mayo 39, Col. Centro",76020,Santiago de Querétaro,Querétaro,MX,,Mon 10:00 am - 11:00 pm; Tue 10:00 am - 11:00 pm; Wed 10:00 am - 11:00 pm; Thu 10:00 am - 12:00 am; Fri 10:00 am - 12:00 am; Sat 10:00 am - 12:00 am; Sun 10:00 am - 10:00 pm Open now
La Antojeria de la Casona,5.0,,"Mexican, Mexican",+52 44 222 42760,Calle 5 de Mayo 39,76000,Santiago de Querétaro,Querétaro,MX,lacasona5patios.com,Mon 10:00 am - 11:00 pm; Tue 10:00 am - 11:00 pm; Wed 10:00 am - 11:00 pm; Thu 10:00 am - 12:00 am; Fri 10:00 am - 12:00 am; Sat 10:00 am - 12:00 am; Sun 10:00 am - 10:00 pm Open now
La Arrogante,4.0,,"Mexican, Mexican",,"2 Sur 3710, Col. Huexotitla",72534,Puebla,,MX,,Mon 3:00 pm - 1:00 am; Tue 3:00 pm - 1:00 am; Wed 3:00 pm - 1:00 am; Thu 3:00 pm - 1:00 am; Fri 3:00 pm - 1:00 am; Sat 3:00 pm - 1:00 am; Sun 3:00 pm - 1:00 am Open now
La Artesanal,4.0,$$$,"Mexican, Mexican",,"Carretera Nacional S/N, Col. La Rioja",,Monterrey,Nuevo León,MX,,
La Barbacoa,3.0,,"Mexican, Mexican",+52 984 879 4987,"10 Av.Nte. S/N, Col. Playa del Carmen",77533,Cancún,Quintana Roo,MX,,
La Barca,5.0,,"Mexican, Mexican",+52 81 113 38521,"Av. Eugenio Garza Sada 2622, Col. Tecnológico",64700,Monterrey,Nuevo León,MX,labarcamegatarros.com,Mon 12:00 pm - 2:00 am; Tue 12:00 pm - 2:00 am; Wed 12:00 pm - 2:00 am; Thu 12:00 pm - 2:00 am; Fri 12:00 pm - 2:00 am; Sat 12:00 pm - 2:00 am; Sun 12:00 pm - 2:00 am Open now
La Barda,4.0,$,"Mexican, Mexican",+52 81 819 20500,Av. Alfonso Reyes S/N,66350,Santa Catarina,Nuevo León,MX,,
La Barra Del Taco,,,"Mexican, Mexican",+52 11 833 44318,Av. Uno Calle 1 1201,67129,La Purísima,Nuevo León,MX,labarradeltaco.com,Mon 8:00 am - 11:30 pm; Tue 8:00 am - 11:30 pm; Wed 8:00 am - 11:30 pm; Thu 8:00 am - 11:30 pm; Fri 8:00 am - 11:30 pm; Sat 8:00 am - 11:30 pm; Sun 8:00 am - 11:30 pm Closed now
La Barra Tapatia,5.0,$,"Mexican, Mexican",+52 33 151 88148,"Calle 15 Pte. 1520, Col. Santa Maria Xixitla",72764,"San Pedro, Cholula",Puebla,MX,,Mon Closed; Tue 10:00 am - 5:30 pm; Wed 10:00 am - 5:30 pm; Thu 10:00 am - 5:30 pm; Fri 10:00 am - 10:00 pm; Sat 10:00 am - 10:00 pm; Sun 10:00 am - 5:30 pm Closed now
La Bella \xc9poca,4.0,,"Mexican, Mexican",,Calle 60 n\xba 497,97000,Mérida,Yucatán,MX,,
La Bella Ferrolana,4.0,$$,"Mexican, Mexican",+52 55 5521 1535,"Ayuntamiento 45, Col. Centro",06050,Centro,D.F.,MX,,Mon 12:00 pm - 10:00 pm; Tue 12:00 pm - 10:00 pm; Wed 12:00 pm - 10:00 pm; Thu 12:00 pm - 10:00 pm; Fri 12:00 pm - 10:00 pm; Sat 12:00 pm - 10:00 pm; Sun Closed
La BendiSion,4.0,$,"Mexican, Mexican",,Dr. Enrique C. Livas 100,64620,Monterrey,Nuevo León,MX,,
La Biblioteca de Tequila,4.5,$$$,"Mexican, Mexican",+52 624 104 9500,"Paseo de La Marina 4750, Col. El Medano",23479,Cabo San Lucas,Baja California Sur,MX,richardsandoval.com,Mon 5:00 pm - 11:00 pm; Tue 5:00 pm - 11:00 pm; Wed 5:00 pm - 11:00 pm; Thu 5:00 pm - 11:00 pm; Fri 5:00 pm - 12:00 am; Sat 5:00 pm - 12:00 am; Sun 5:00 pm - 11:00 pm Closed now
La Bikina,4.5,$$$,"Mexican, Mexican",+52 477 331 7693,"Av.Cerro Gordo, Casa de Piedra",37140,León,Guanajuato,MX,casadepiedraleon.mx/restauran\u2026,
La Birria,4.0,,"Mexican, Mexican",,"Calle 57 8, Col. Puebla",,"México, D.F.",,MX,,Mon 9:00 am - 10:00 pm; Tue 9:00 am - 10:00 pm; Wed 9:00 am - 10:00 pm; Thu 9:00 am - 10:00 pm; Fri 9:00 am - 10:00 pm; Sat 9:00 am - 10:00 pm; Sun 9:00 am - 10:00 pm Open now
La Biznaga,3.0,$$$,"Mexican, Mexican",+52 951 516 1800,"Manuel García Vigil  512, Col. Centro",68000,Oaxaca,,MX,labiznaga.com.mx,
La Bodega,3.5,$$,"Mexican, Mexican",+52 55 5525 2473,"Popocatépetl 25, Col. Condesa",06170,"México, D.F.",,MX,labodega.com.mx,Mon 1:30 pm - 2:00 am; Tue 1:30 pm - 2:00 am; Wed 1:30 pm - 2:00 am; Thu 1:30 pm - 2:00 am; Fri 1:30 pm - 2:00 am; Sat 1:30 pm - 2:00 am; Sun Closed
La Bonita,4.0,$$,"Mexican, Mexican",+52 951 132 7459,"Amapolas 710, Col. Reforma",68050,Oaxaca,,MX,labonitaoaxaca.com.mx,Mon 8:00 am - 8:00 pm; Tue 8:00 am - 8:00 pm; Wed 8:00 am - 8:00 pm; Thu 8:00 am - 8:00 pm; Fri 8:00 am - 11:30 pm; Sat 8:00 am - 11:30 pm; Sun 8:00 am - 6:00 pm Closed now
La Borrega,5.0,$$,"Mexican, Mexican",+52 656 257 0001,Av. de las Americas 1415,32575,Ciudad Juárez,Chihuahua,MX,,Mon 8:00 am - 10:00 pm; Tue 8:00 am - 10:00 pm; Wed 8:00 am - 10:00 pm; Thu 8:00 am - 12:00 am; Fri 8:00 am - 1:00 am; Sat 8:00 am - 1:00 am; Sun 8:00 am - 6:30 pm Closed now
La Boruca,3.0,,"Mexican, Mexican",+52 55 5208 0587,Toledo 44. Colonia Juárez.,06600,"México, D.F.",,MX,,
La Bruja,4.5,,"Mexican, Mexican",+52 998 820 2044,"Calle Cherna 169, Col. La Gloria",,Isla Mujeres,Quintana Roo,MX,,
La BTK,5.0,$$,"Mexican, Mexican",+52 55 5363 2629,Av. Gustavo Baz 132,53490,Naucalpan de Juárez,México,MX,labtk.com.mx,Mon 12:00 pm - 12:00 am; Tue 12:00 pm - 12:00 am; Wed 12:00 pm - 12:00 am; Thu 12:00 pm - 12:00 am; Fri 12:00 pm - 12:00 am; Sat Closed; Sun Closed
La Buena Barra,4.5,$$$,"Mexican, Mexican",+52 81 833 85050,Río Missouri 600,66268,San Pedro Garza García,Nuevo León,MX,labuenabarra.com.mx,Mon 1:00 pm - 12:00 am Closed now; Tue 1:00 pm - 12:00 am; Wed 1:00 pm - 12:00 am; Thu 1:00 pm - 12:00 am; Fri 1:00 pm - 1:00 am; Sat 1:00 pm - 1:00 am; Sun 1:00 pm - 10:30 pm
La Burreria,4.0,,"Mexican, Mexican",,Jardines de S. Mateo S/N,54080,Jardines de San Mateo,México,MX,,Mon 1:00 pm - 12:00 am; Tue 1:00 pm - 12:00 am; Wed Closed; Thu 1:00 pm - 12:00 am; Fri 1:00 pm - 1:00 am; Sat 1:00 pm - 1:00 am; Sun 1:00 pm - 10:00 pm Closed now
La Cabaña,4.5,,"Mexican, Mexican",,"Ave. Grandes Lagos, Tijuana, Baja Californi",22559,Tijuana,Baja California,MX,,
La cabaña,4.0,,"Mexican, Mexican",,"andador tulum 34, piso pb, super manzana 2",77500,Cancún,Quintana Roo,MX,,
La Cabaña,3.0,,"Mexican, Mexican",,"Calle 7 46, Col. San Pedro de los Pinos",03820,Benito Juárez,D.F.,MX,,Mon 8:00 am - 7:00 pm Open now; Tue 8:00 am - 7:00 pm; Wed 8:00 am - 7:00 pm; Thu 8:00 am - 7:00 pm; Fri 8:00 am - 7:00 pm; Sat Closed; Sun Closed
La Cabaña de Charlie,3.5,$$,"Mexican, Mexican",,Elizabeth Taylor 315,,Mismaloya,Jalisco,MX,,
La Cabaña de José,3.0,$,"Mexican, Mexican",,Av. Universidad S/N,,Acapulco,Guerrero,MX,,
La Cabaña del Angel,4.0,$,"Mexican, Mexican",+52 33 362 74147,"Calzada Central 879, Col. Cipreses",45010,Zapopan,Jalisco,MX,,Mon 7:00 am - 9:00 pm; Tue 7:00 am - 9:00 pm; Wed 7:00 am - 9:00 pm; Thu 7:00 am - 9:00 pm; Fri 7:00 am - 9:00 pm; Sat 7:00 am - 9:00 pm; Sun 7:00 am - 3:00 pm Closed now
La Cabaña del Coyote Ajusco,4.0,,"Mexican, Mexican",+52 55 5645 2665,"Carretera Picacho-Ajusco, Km 12",03300,Mexico,D.F.,MX,,Mon Closed; Tue Closed; Wed Closed; Thu Closed; Fri Closed; Sat 10:00 am - 8:00 pm; Sun 10:00 am - 8:00 pm Closed now
La Cabaña Express,3.0,,"Mexican, Mexican",+52 664 104 5438,Av. las Palmas 4391,,Tijuana,Baja California,MX,,Mon 9:00 am - 5:30 pm; Tue 9:00 am - 5:30 pm; Wed 9:00 am - 5:30 pm; Thu 9:00 am - 5:30 pm; Fri 9:00 am - 5:30 pm; Sat 9:00 am - 5:00 pm; Sun 9:00 am - 5:00 pm Open now
La Cabaña Grill,3.0,,"Mexican, Mexican",+52 81 193 16662,"Paseo de los Leones #1036, Colonia Leones",64600,Monterrey,Nuevo León,MX,,
La Cabañita,2.0,,"Mexican, Mexican",,Blvd. Fundadores 6447,22626,Tijuana,Baja California,MX,,
La Cachondita Pibil,4.0,,"Mexican, Mexican",+52 55 2224 1511,"Av. Stim 1368, Col. Lomas del Chamizal",05219,"México, D.F.",,MX,,
La Caja de Madera,5.0,,"Mexican, Mexican",+52 664 631 8553,Paseo del Pedregal 1360,22506,Tijuana,Baja California,MX,,Mon 8:00 am - 4:00 pm; Tue Closed; Wed 8:00 am - 4:00 pm; Thu 8:00 am - 4:00 pm; Fri 8:00 am - 4:00 pm; Sat 8:00 am - 4:00 pm; Sun 8:00 am - 4:00 pm Open now
La Caldera 1900,4.5,,"Mexican, Mexican",+52 81 192 94054,"Eugenio Garza Sada 6115, Col. Villa Las Fuentes",,Monterrey,Nuevo León,MX,lacaldera1900.com,
La Caldera 1900,4.5,$$,"Mexican, Mexican",+52 81 192 94054,Av. Eugenio Garza Sada 6115,64890,Monterrey,Nuevo León,MX,lacaldera1900.com,Mon 7:30 am - 1:00 am; Tue 7:30 am - 1:00 am; Wed 7:30 am - 1:00 am; Thu 7:30 am - 1:00 am; Fri 7:30 am - 2:00 am; Sat 7:30 am - 2:00 am; Sun 7:30 am - 1:00 am7:30 am - 2:00 am Open now
La Callecita Cenaduría,,,"Mexican, Mexican",,"Calle Venus 73, Col. Centro",82000,Mazatlán,Sinaloa,MX,,Mon 1:00 pm - 10:00 pm; Tue 1:00 pm - 10:00 pm; Wed 1:00 pm - 10:00 pm; Thu 1:00 pm - 10:00 pm; Fri 1:00 pm - 10:00 pm; Sat 1:00 pm - 10:00 pm; Sun 1:00 pm - 10:00 pm Open now
La Camelia,,,"Mexican, Mexican",,Calle Niños Heroes 1,77516,Cancún,Quintana Roo,MX,,
